Building,Business,Entertainment,Medicine,Otdoor,Religion,Residence,Restaurant,School,Shopping,Snackbar,Sports,Traffic
64,0.285714,0.142857,0.142857,0.285714,0,0,0,0,0,0,0,0,0.142857
65,0,0.0714286,0.428571,0.142857,0,0,0.285714,0,0,0,0,0,0.0714286
66,0,0,0.470588,0.294118,0,0,0.235294,0,0,0,0,0,0
67,0,0,0.8,0.2,0,0,0,0,0,0,0,0,0
68,0,0,0.75,0.25,0,0,0,0,0,0,0,0,0
69,0,0,0.666667,0.333333,0,0,0,0,0,0,0,0,0
70,0,0,0.6,0.2,0,0,0.2,0,0,0,0,0,0
71,0,0,0.647059,0.176471,0.0588235,0,0.0588235,0,0,0,0,0,0.0588235
72,0.0689655,0.0689655,0.551724,0.206897,0.0344828,0,0,0,0,0,0,0,0.0689655
73,0.0666667,0.0666667,0.566667,0.2,0.0333333,0,0,0,0,0,0,0,0.0666667
74,0,0,0.625,0.1875,0.0625,0,0.0625,0,0,0,0,0,0.0625
75,0,0,0.5,0.25,0,0,0.25,0,0,0,0,0,0
76,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0
77,0,0,0.75,0.25,0,0,0,0,0,0,0,0,0
78,0,0,0.666667,0.333333,0,0,0,0,0,0,0,0,0
79,0,0,0.470588,0.294118,0,0,0.235294,0,0,0,0,0,0
80,0,0.0714286,0.428571,0.142857,0,0,0.285714,0,0,0,0,0,0.0714286
81,0.333333,0.166667,0.166667,0.166667,0,0,0,0,0,0,0,0,0.166667
82,0.153846,0.0769231,0.538462,0.0769231,0.0769231,0,0,0,0,0,0,0.0769231,0
83,0,0.2,0.3,0.2,0,0.1,0,0,0,0,0,0.1,0.1
84,0,0.2,0.3,0.2,0,0.1,0,0,0,0,0,0.1,0.1
85,0,0.2,0.4,0.2,0,0,0,0,0,0,0,0.2,0
86,0.0714286,0.0714286,0.571429,0.214286,0,0,0,0,0,0,0,0.0714286,0
87,0.2,0,0.6,0.2,0,0,0,0,0,0,0,0,0
88,0.125,0,0.75,0.125,0,0,0,0,0,0,0,0,0
89,0,0,1,0,0,0,0,0,0,0,0,0,0
90,0,0,0.857143,0.142857,0,0,0,0,0,0,0,0,0
91,0,0,0.8,0.2,0,0,0,0,0,0,0,0,0
92,0,0,0.5625,0.375,0,0,0,0,0,0,0,0,0.0625
93,0,0,1,0,0,0,0,0,0,0,0,0,0
94,0.0666667,0,0.533333,0.266667,0.133333,0,0,0,0,0,0,0,0
95,0.166667,0,0.333333,0.333333,0.166667,0,0,0,0,0,0,0,0
96,0.0714286,0,0.571429,0.214286,0.0714286,0,0,0,0,0,0,0.0714286,0
97,0,0,0.555556,0.333333,0,0,0,0,0,0,0,0.111111,0
98,0.0434783,0.0869565,0.521739,0.304348,0,0,0,0,0,0,0,0.0434783,0
99,0.0277778,0.0555556,0.5,0.333333,0.0277778,0.0277778,0,0,0,0,0,0,0.0277778
100,0.0666667,0,0.4,0.333333,0,0,0.133333,0,0,0,0,0.0666667,0
101,0.0294118,0.0294118,0.5,0.294118,0.0294118,0.0294118,0.0588235,0,0,0,0,0,0.0294118
102,0,0,0.533333,0.266667,0.0666667,0.0666667,0,0,0,0,0,0,0.0666667
103,0.0277778,0.0555556,0.5,0.333333,0.0277778,0.0277778,0,0,0,0,0,0,0.0277778
104,0.0454545,0.0909091,0.545455,0.272727,0,0,0,0,0,0,0,0.0454545,0
105,0,0,0.666667,0.222222,0,0,0,0,0,0,0,0.111111,0
106,0.0555556,0,0.611111,0.222222,0.0555556,0,0,0,0,0,0,0.0555556,0
107,0.166667,0,0.333333,0.333333,0.166667,0,0,0,0,0,0,0,0
108,0.0625,0,0.5625,0.25,0.125,0,0,0,0,0,0,0,0
109,0,0,1,0,0,0,0,0,0,0,0,0,0
110,0,0,0.571429,0.428571,0,0,0,0,0,0,0,0,0
111,0,0,0.538462,0.461538,0,0,0,0,0,0,0,0,0
112,0,0,0.666667,0.333333,0,0,0,0,0,0,0,0,0
113,0,0,0.875,0.125,0,0,0,0,0,0,0,0,0
114,0.111111,0,0.888889,0,0,0,0,0,0,0,0,0,0
115,0.142857,0,0.714286,0.142857,0,0,0,0,0,0,0,0,0
116,0.2,0,0.6,0.2,0,0,0,0,0,0,0,0,0
117,0.142857,0,0.571429,0.285714,0,0,0,0,0,0,0,0,0
118,0,0.0909091,0.545455,0.272727,0,0,0,0,0,0,0,0.0909091,0
119,0,0.166667,0.5,0.166667,0,0,0,0,0,0,0,0.166667,0
120,0,0,0.25,0.75,0,0,0,0,0,0,0,0,0
121,0,0,0.6,0.2,0,0,0,0,0,0,0,0.2,0
122,0,0.0714286,0.5,0.357143,0,0,0,0,0,0,0,0.0714286,0
123,0,0.0909091,0.363636,0.545455,0,0,0,0,0,0,0,0,0
124,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0
125,0,0.0714286,0.5,0.357143,0,0,0,0,0,0,0,0,0.0714286
126,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0.25
127,0,0.111111,0.555556,0.166667,0,0,0,0,0,0,0,0,0.166667
128,0,0.0416667,0.708333,0.125,0,0,0,0,0,0,0,0,0.125
129,0,0,0.789474,0.157895,0,0,0,0,0,0,0,0,0.0526316
